date,EIA Ending Stocks of Crude Oil,EIA Ending Stocks excluding SPR of Crude Oil,EIA Ending Stocks of Crude Oil in SPR
9/22/2023,767267,416287,350980
9/15/2023,769686,418456,351230
9/8/2023,771222,420592,350630
9/1/2023,766977,416637,350340
8/25/2023,772486,422944,349542
8/18/2023,782476,433528,348948
8/11/2023,788016,439662,348354
8/4/2023,793376,445622,347754
7/28/2023,786530,439771,346759
7/14/2023,804179,457420,346759
7/7/2023,804886,458128,346758
6/30/2023,799341,452182,347159
6/23/2023,802307,453690,348617
6/16/2023,813261,463293,349968
6/9/2023,818811,467124,351687
6/2/2023,812774,459205,353569
5/26/2023,815093,459657,355436
5/19/2023,813122,455168,357954
5/12/2023,827210,467624,359586
5/5/2023,824598,462584,362014
4/28/2023,824571,459633,364938
4/21/2023,827856,460914,366942
4/14/2023,833931,465968,367963
4/7/2023,840124,470549,369575
3/31/2023,841127,469952,371175
3/24/2023,845270,473691,371579
3/17/2023,852759,481180,371579
3/10/2023,851642,480063,371579
3/3/2023,850092,478513,371579
2/24/2023,851786,480207,371579
2/17/2023,850620,479041,371579
2/10/2023,842973,471394,371579
2/3/2023,826690,455111,371579
1/27/2023,824267,452688,371579
1/20/2023,820127,448548,371579
1/13/2023,819594,448015,371579
1/6/2023,811187,439607,371580
12/30/2022,793026,420646,372380
12/23/2022,794080,418952,375128
12/16/2022,796858,418234,378624
12/9/2022,806400,424129,382271
12/2/2022,800917,413898,387019
11/25/2022,808200,419084,389116
11/18/2022,822183,431665,390518
11/11/2022,827474,435355,392119
11/4/2022,836974,440755,396219
10/28/2022,836622,436830,399792
10/21/2022,841663,439945,401718
10/14/2022,842492,437357,405135
10/7/2022,847781,439082,408699
9/30/2022,845592,429203,416389
9/23/2022,853142,430559,422583
9/16/2022,857932,430774,427158
9/9/2022,863690,429633,434057
9/2/2022,869662,427191,442471
8/26/2022,868344,418346,449998
8/19/2022,874737,421672,453065
8/12/2022,886110,424954,461156
8/5/2022,896568,432010,464558
7/29/2022,896408,426553,469855
7/22/2022,896631,422086,474545
7/15/2022,906758,426609,480149
7/8/2022,912201,427054,485147
7/1/2022,915828,423800,492028
6/24/2022,913434,415566,497868
6/17/2022,923146,418328,504818
6/10/2022,930326,418714,511612
6/3/2022,936081,416758,519323
5/27/2022,941325,414733,526592
5/20/2022,951814,419801,532013
5/13/2022,958804,420820,537984
5/6/2022,967208,424214,542994
4/29/2022,965712,415727,549985
4/22/2022,967494,414424,553070
4/15/2022,969713,413733,555980
4/8/2022,982434,421753,560681
4/1/2022,976951,412371,564580
